,tweet,text_clean,text_preprocessed
367,@TeddGus Kalo menolak IKN itu merupakan gimmick utk merebut suara di pemilu artinya byk yg tidak setuju dg IKN yg berarti proses pemindahan ibukota itu memang cacad prosedur,kalo menolak ikn itu merupakan gimmick untuk merebut suara di pemilu artinya banyak yang tidak setuju dengan ikn yang berarti proses pemindahan ibukota itu memang cacad prosedur,"['kalo', 'menolak', 'ikn', 'itu', 'merupakan', 'gimmick', 'untuk', 'merebut', 'suara', 'di', 'pemilu', 'artinya', 'banyak', 'yang', 'tidak', 'setuju', 'dengan', 'ikn', 'yang', 'berarti', 'proses', 'pemindahan', 'ibukota', 'itu', 'memang', 'cacad', 'prosedur']"
368,@yuen23077513 @laricukadawibuu @idextratime kiev aja ibukota ukraina,kiev saja ibukota ukraina,"['kiev', 'saja', 'ibukota', 'ukraina']"
369,@KYUNGPYOLtd @HOSHILtd Siap menggeber ibukota https://t.co/MGTNxXTaMS,siap menggeber ibukota,"['siap', 'menggeber', 'ibukota']"
370,"Sudah melewati 3 hari yg bikin burn out and exhausted bgt. 
Kek bayangin ratusan orang nanya ""cepet-cepet nyusul kakaknya, mana calonmu kok gadibawa.."" Meanwhile gue asik ngehvmv di ibukota 😔✋",sudah melewati hari yang bikin burn out and exhausted banget kayak bayangkan ratusan orang bertanya cepetcepet menyusul kakaknya mana calonmu kok gadibawa meanwhile gue asik ngehvmv di ibukota 😔✋,"['sudah', 'melewati', 'hari', 'yang', 'bikin', 'burn', 'out', 'and', 'exhausted', 'banget', 'kayak', 'bayangkan', 'ratusan', 'orang', 'bertanya', 'cepetcepet', 'menyusul', 'kakaknya', 'mana', 'calonmu', 'kok', 'gadibawa', 'meanwhile', 'gue', 'asik', 'ngehvmv', 'di', 'ibukota', '!pensive_face!!raised_hand!']"
371,@ekowboy2 Beda lah kan Jkt ibukota.,beda lah kan jakarta ibukota,"['beda', 'lah', 'kan', 'jakarta', 'ibukota']"
372,"@Abenk12356649 @bobby_risakotta Kata TAI yang diucapkannya tidak salah sasaran, malahan tepat sasaran yaitu ke maling2 berdasi yg berkedok Anggota Dewan Perwakilan Rakyat Daerah Ibukota Jakarta.",risakotta kata tahi yang diucapkannya tidak salah sasaran malahan tepat sasaran yaitu ke maling berdasi yang berkedok anggota dewan perwakilan rakyat daerah ibukota jakarta,"['risakotta', 'kata', 'tahi', 'yang', 'diucapkannya', 'tidak', 'salah', 'sasaran', 'malahan', 'tepat', 'sasaran', 'yaitu', 'ke', 'maling', 'berdasi', 'yang', 'berkedok', 'anggota', 'dewan', 'perwakilan', 'rakyat', 'daerah', 'ibukota', 'jakarta']"
373,"@IWAN79915332 @bobby_risakotta Kata TAI yang diucapkannya tidak salah sasaran, malahan tepat sasaran yaitu maling2 berdasi yg berkedok Anggota Dewan Perwakilan Rakyat Daerah Ibukota Jakarta.",risakotta kata tahi yang diucapkannya tidak salah sasaran malahan tepat sasaran yaitu maling berdasi yang berkedok anggota dewan perwakilan rakyat daerah ibukota jakarta,"['risakotta', 'kata', 'tahi', 'yang', 'diucapkannya', 'tidak', 'salah', 'sasaran', 'malahan', 'tepat', 'sasaran', 'yaitu', 'maling', 'berdasi', 'yang', 'berkedok', 'anggota', 'dewan', 'perwakilan', 'rakyat', 'daerah', 'ibukota', 'jakarta']"
374,@_BayuSapta Mesisan ganti ibukota,bayusapta mesisan ganti ibukota,"['bayusapta', 'mesisan', 'ganti', 'ibukota']"
375,"@opiik_piss Kritik pemindahan ibukota kok disebut menjelekkan negara. Otakmu di Mana, bong?",piss kritik pemindahan ibukota kok disebut menjelekkan negara otakmu di mana bong,"['pis', 'kritik', 'pemindahan', 'ibukota', 'kok', 'disebut', 'menjelekkan', 'negara', 'otakmu', 'di', 'mana', 'bong']"
376,ingin tinggal di ibukota https://t.co/LPBL1iiBmv,ingin tinggal di ibukota,"['ingin', 'tinggal', 'di', 'ibukota']"
377,"@kartarahardja Pemindahan ibukota korbannya satwa,hutan , lingkungan rusak tambah rusak, isue lingkungan itu international,cuma rezim yg dungu saja yg tak peduli lingkungan,",pemindahan ibukota korbannya satwahutan lingkungan rusak tambah rusak isue lingkungan itu internationalcuma rezim yang dungu saja yang tak peduli lingkungan,"['pemindahan', 'ibukota', 'korbannya', 'satwahutan', 'lingkungan', 'rusak', 'tambah', 'rusak', 'isue', 'lingkungan', 'itu', 'internationalcuma', 'rezim', 'yang', 'dungu', 'saja', 'yang', 'tak', 'peduli', 'lingkungan']"
378,@CarolinSiagian Bukannya ibukota dia sdh pindah ke hambalang?,bukannya ibukota dia sudah pindah ke hambalang,"['bukannya', 'ibukota', 'dia', 'sudah', 'pindah', 'ke', 'hambalang']"
379,"Tiba² di dm band gua diajak collabs sama pokalis metal terkenal ibukota tapi ujungnya ngasih ratecard kalo mau collabs berbayar. Dia yg nawarin collab, gua yg disuruh bayar. Ogah gila 😂😂",tiba² di dm band gua diajak collabs sama pokalis metal terkenal ibukota tapi ujungnya mengasih ratecard kalo mau collabs berbayar dia yang menawari collab gua yang disuruh bayar ogah gila 😂😂,"['tiba²', 'di', 'dm', 'band', 'gua', 'diajak', 'collabs', 'sama', 'pokalis', 'metal', 'terkenal', 'ibukota', 'tapi', 'ujungnya', 'mengasih', 'ratecard', 'kalo', 'mau', 'collabs', 'berbayar', 'dia', 'yang', 'menawari', 'collab', 'gua', 'yang', 'disuruh', 'bayar', 'ogah', 'gila', '!face_with_tears_of_joy!!face_with_tears_of_joy!']"
380,"hal itu dilakukannya karena beliau faham hanya itu penyelesaian hingga kekacauan di ibukota bisa reda.
-Kisah Prabowo Subianto -
#kerjasama #PrabowoPemersatu",hal itu dilakukannya karena beliau faham hanya itu penyelesaian hingga kekacauan di ibukota bisa reda kisah prabowo subianto,"['hal', 'itu', 'dilakukannya', 'karena', 'beliau', 'faham', 'hanya', 'itu', 'penyelesaian', 'hingga', 'kekacauan', 'di', 'ibukota', 'bisa', 'reda', 'kisah', 'prabowo', 'subianto']"
381,"Kedua rencana Panglima Abri ingin pergi ke malang untuk menghadiri acara yang sama sekali tidak penting ditengah mengamuknya massa di ibukota Jakarta telah dilarang oleh Prabowo 
-Kisah Prabowo Subianto -
#kerjasama #PrabowoPemersatu",kedua rencana panglima abri ingin pergi ke malang untuk menghadiri acara yang sama sekali tidak penting ditengah mengamuknya massa di ibukota jakarta telah dilarang oleh prabowo kisah prabowo subianto,"['kedua', 'rencana', 'panglima', 'abri', 'ingin', 'pergi', 'ke', 'malang', 'untuk', 'menghadiri', 'acara', 'yang', 'sama', 'sekali', 'tidak', 'penting', 'ditengah', 'mengamuknya', 'massa', 'di', 'ibukota', 'jakarta', 'telah', 'dilarang', 'oleh', 'prabowo', 'kisah', 'prabowo', 'subianto']"
382,"namun Pangab Wiranto tetap saja meninggalkan ibukota Jakarta dengan situasi di jakarta saat itu membuat pangdam Jaya Sjafrie Sjamsoeddin kewalahan dikarenakan kekurangan personel 
-Kisah Prabowo Subianto -
#kerjasama #PrabowoPemersatu",namun pangab wiranto tetap saja meninggalkan ibukota jakarta dengan situasi di jakarta saat itu membuat pangdam jaya sjafrie sjamsoeddin kewalahan dikarenakan kekurangan personel kisah prabowo subianto,"['namun', 'pangab', 'wiranto', 'tetap', 'saja', 'meninggalkan', 'ibukota', 'jakarta', 'dengan', 'situasi', 'di', 'jakarta', 'saat', 'itu', 'membuat', 'pangdam', 'jaya', 'sjafrie', 'sjamsoeddin', 'kewalahan', 'dikarenakan', 'kekurangan', 'personel', 'kisah', 'prabowo', 'subianto']"
383,"mengangkut pasukan dari Kostrad ke Jakarta untuk diperbantukan di Ibukota, melihat keihklasan Prabowo untuk meredakan suasana di Ibukota membuat banyak tokoh berunding dan 
-Kisah Prabowo Subianto -
#kerjasama #PrabowoPemersatu",mengangkut pasukan dari kostrad ke jakarta untuk diperbantukan di ibukota melihat keihklasan prabowo untuk meredakan suasana di ibukota membuat banyak tokoh berunding dan kisah prabowo subianto,"['mengangkut', 'pasukan', 'dari', 'kostrad', 'ke', 'jakarta', 'untuk', 'diperbantukan', 'di', 'ibukota', 'melihat', 'keihklasan', 'prabowo', 'untuk', 'meredakan', 'suasana', 'di', 'ibukota', 'membuat', 'banyak', 'tokoh', 'berunding', 'dan', 'kisah', 'prabowo', 'subianto']"
384,"meminta agar Prabowo yang mengambil alih keamanan di Ibukota namun beliau menolak dengan alasan masih ada Pangab Wiranto.
-Kisah Prabowo Subianto -
#kerjasama #PrabowoPemersatu",meminta agar prabowo yang mengambil alih keamanan di ibukota namun beliau menolak dengan alasan masih ada pangab wiranto kisah prabowo subianto,"['meminta', 'agar', 'prabowo', 'yang', 'mengambil', 'alih', 'keamanan', 'di', 'ibukota', 'namun', 'beliau', 'menolak', 'dengan', 'alasan', 'masih', 'ada', 'pangab', 'wiranto', 'kisah', 'prabowo', 'subianto']"
385,"@PendarKristal ⠀

Betul, yang tinggi, cakep, banyak dilirik itu! Kita teman ngobrol bisnis, bentar lagi rekanan bisnis juga! Wah kebetulan nih saya bulan depan mau banyak acara elit di Ibukota. Butuh bajunya yang bagus haha.. nanti saya hubungi boleh?

⠀",⠀ betul yang tinggi cakep banyak dilirik itu kita teman mengobrol bisnis bentar lagi rekanan bisnis juga wah kebetulan nih saya bulan depan mau banyak acara elit di ibukota butuh bajunya yang bagus haha nanti saya hubungi boleh ⠀,"['⠀', 'betul', 'yang', 'tinggi', 'cakep', 'banyak', 'dilirik', 'itu', 'kita', 'teman', 'mengobrol', 'bisnis', 'bentar', 'lagi', 'rekanan', 'bisnis', 'juga', 'wah', 'kebetulan', 'nih', 'saya', 'bulan', 'depan', 'mau', 'banyak', 'acara', 'elit', 'di', 'ibukota', 'butuh', 'bajunya', 'yang', 'bagus', 'haha', 'nanti', 'saya', 'hubungi', 'boleh', '⠀']"
386,"Cek in (@ Tuju Wk Homes Cilandak in Kecamatan Cilandak, Daerah Khusus Ibukota Jakarta) https://t.co/wlmuFGzgFE",cek ini tuju waktu homes cilandak ini kecamatan cilandak daerah khusus ibukota jakarta,"['cek', 'ini', 'tuju', 'waktu', 'homes', 'cilandak', 'ini', 'kecamatan', 'cilandak', 'daerah', 'khusus', 'ibukota', 'jakarta']"
387,@hi_fiq @SupirPete2 Selaluka ketawa didalam hati klo bandingkan ongkos angkotnya kota dunia sama calon mantan ibukota,fiq selaluka ketawa didalam hati kalo bandingkan ongkos angkotnya kota dunia sama calon mantan ibukota,"['fiq', 'selaluka', 'ketawa', 'didalam', 'hati', 'kalo', 'bandingkan', 'ongkos', 'angkotnya', 'kota', 'dunia', 'sama', 'calon', 'mantan', 'ibukota']"
388,"ㅤ

HawoOOoㅡ kenalin, nama aku Alesya Shania, kalian bisa panggil Shania, Shani, atau Shan. Aku lahir di rumah sakit waktu itu, rumah sakitnya ada di ibukota Korea, taukan? Yup! Aku lahir di Seoul pada 18 Januari 1998, psst- 2 hari lagi ultah aku, loh, xixixi. ㅤ

ㅤ https://t.co/zcc3HgdXTv",ㅤ hawooooㅡ memperkenalkan nama aku alesya shania kalian bisa panggil shania shani atau shan aku lahir di rumah sakit waktu itu rumah sakitnya ada di ibukota korea taukan ya aku lahir di seoul pada januari psst hari lagi ultah aku loh xixixi ㅤ ㅤ,"['ㅤ', 'hawooooㅡ', 'memperkenalkan', 'nama', 'aku', 'alesya', 'shania', 'kalian', 'bisa', 'panggil', 'shania', 'shani', 'atau', 'shan', 'aku', 'lahir', 'di', 'rumah', 'sakit', 'waktu', 'itu', 'rumah', 'sakitnya', 'ada', 'di', 'ibukota', 'korea', 'taukan', 'ya', 'aku', 'lahir', 'di', 'seoul', 'pada', 'januari', 'psst', 'hari', 'lagi', 'ultah', 'aku', 'loh', 'xixixi', 'ㅤ', 'ㅤ']"
389,@solinepmenfess Andai ada kos dengan fasilitas dan harga kek gini di ibukota,andai ada kos dengan fasilitas dan harga kayak begini di ibukota,"['andai', 'ada', 'kos', 'dengan', 'fasilitas', 'dan', 'harga', 'kayak', 'begini', 'di', 'ibukota']"
390,"@laethif @deacon09719930 @RafsAkbar kalau ibukota ga dipaksa pindah, nih pulau bakal tenggelem rek 🤭 orang tua lu ga mau pindah, lu ntar kawin beranak ga mau pindah, anak lu ga mau juga 😆 pulau cuman seiprit diisi 300jt kepala, makan dan energi dari mana? eksploitasi pulau2 lain? 🤭",kalau ibukota enggak dipaksa pindah nih pulau bakal tenggelem rek 🤭 orang tua lu enggak mau pindah lu entar kawin beranak enggak mau pindah anak lu enggak mau juga 😆 pulau cuman seiprit diisi juta kepala makan dan energi dari mana eksploitasi pulau lain 🤭,"['kalau', 'ibukota', 'enggak', 'dipaksa', 'pindah', 'nih', 'pulau', 'bakal', 'tenggelem', 'rek', '!face_with_hand_over_mouth!', 'orang', 'tua', 'lu', 'enggak', 'mau', 'pindah', 'lu', 'entar', 'kawin', 'beranak', 'enggak', 'mau', 'pindah', 'anak', 'lu', 'enggak', 'mau', 'juga', '!grinning_squinting_face!', 'pulau', 'cuman', 'seiprit', 'diisi', 'juta', 'kepala', 'makan', 'dan', 'energi', 'dari', 'mana', 'eksploitasi', 'pulau', 'lain', '!face_with_hand_over_mouth!']"
391,"@rentfess halo halo bandung ibukota periangan! gua avail besok, pas banget atau mungkin ini jodoh ya? tadi gua mempertanyakan si kapan jodoh gua dateng taunya didepan mata jakh anjir garing bgt guaaa☺☺ pacaran sama gua santai aja si mau ngobrolin apa juga gua gas, bahas hal 

—",halo halo bandung ibukota periangan gua avail besok pas banget atau mungkin ini jodoh ya tadi gua mempertanyakan sih kapan jodoh gua datang taunya didepan mata jakh anjir garing banget guaaa☺☺ pacaran sama gua santai saja sih mau ngobrolin apa juga gua gas bahas hal —,"['halo', 'halo', 'bandung', 'ibukota', 'periangan', 'gua', 'avail', 'besok', 'pas', 'banget', 'atau', 'mungkin', 'ini', 'jodoh', 'ya', 'tadi', 'gua', 'mempertanyakan', 'sih', 'kapan', 'jodoh', 'gua', 'datang', 'taunya', 'didepan', 'mata', 'jakh', 'anjir', 'garing', 'banget', 'gua☺☺', 'pacaran', 'sama', 'gua', 'santai', 'saja', 'sih', 'mau', 'ngobrolin', 'apa', 'juga', 'gua', 'gas', 'bahas', 'hal', '—']"
392,"@Lordskub1 @IsmailBhakti @hosin_engi @gara_nam @imananda01 ancurin ibukota, cina cukup nyuplai bom ama uang ke JI/opm/dkk bikin rentetan bom  dan  bikin rusuh republik 🤭 ngapain buang2 rudal balistik 😆",engi nam ancurin ibukota cina cukup nyuplai bom sama uang ke jiopmdkk bikin rentetan bom dan bikin rusuh republik 🤭 mengapai buang rudal balistik 😆,"['engi', 'nam', 'ancurin', 'ibukota', 'cina', 'cukup', 'nyuplai', 'bom', 'sama', 'uang', 'ke', 'jiopmdk', 'bikin', 'rentetan', 'bom', 'dan', 'bikin', 'rusuh', 'republik', '!face_with_hand_over_mouth!', 'mengapai', 'buang', 'rudal', 'balistik', '!grinning_squinting_face!']"
393,"begitu banyak hal ttg Yesung, tp gak bs sering update karna jadwal padat kayak macetnya jalanan ibukota 🫠",begitu banyak hal tentang yesung tapi enggak bisa sering update karena jadwal padat kayak macetnya jalanan ibukota 🫠,"['begitu', 'banyak', 'hal', 'tentang', 'yesung', 'tapi', 'enggak', 'bisa', 'sering', 'update', 'karena', 'jadwal', 'padat', 'kayak', 'macetnya', 'jalanan', 'ibukota', '\U0001fae0']"
394,"@evxy_tb Jl. Pangeran Diponegoro No.58, RT.1/RW.2, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",tb jl pangeran diponegoro no rtrw menteng kec menteng kota jakarta pusat daerah khusus ibukota jakarta,"['tb', 'jl', 'pangeran', 'diponegoro', 'no', 'rtrw', 'menteng', 'kec', 'menteng', 'kota', 'jakarta', 'pusat', 'daerah', 'khusus', 'ibukota', 'jakarta']"
395,@tanyarlfes Ibukota,ibukota,['ibukota']
396,"@CarolinSiagian Lebih murah pindah rumah cuma ongkos angkut doang, bangun pusat olahraga Hambalang aja di korupsi, gimana kalau pindah ibukota",lebih murah pindah rumah cuma ongkos angkut doang bangun pusat olahraga hambalang saja di korupsi bagaimana kalau pindah ibukota,"['lebih', 'murah', 'pindah', 'rumah', 'cuma', 'ongkos', 'angkut', 'doang', 'bangun', 'pusat', 'olahraga', 'hambalang', 'saja', 'di', 'korupsi', 'bagaimana', 'kalau', 'pindah', 'ibukota']"
397,"@faisalisalp Sanggar tari ibukota otw makan"" Wk",sanggar tari ibukota otw makan waktu,"['sanggar', 'tari', 'ibukota', 'otw', 'makan', 'waktu']"
398,Disadvantages of living jauh dari ibukota,disadvantages of living jauh dari ibukota,"['disadvantages', 'of', 'living', 'jauh', 'dari', 'ibukota']"
399,@rofaippp untung ibukota saya tyda,untung ibukota saya tyda,"['untung', 'ibukota', 'saya', 'tyda']"
400,"@CarolinSiagian Hambalang saja mangkrak, gimana ibukota baru? 🤣🤣🤣",hambalang saja mangkrak bagaimana ibukota baru 🤣🤣🤣,"['hambalang', 'saja', 'mangkrak', 'bagaimana', 'ibukota', 'baru', '!rolling_on_the_floor_laughing!!rolling_on_the_floor_laughing!!rolling_on_the_floor_laughing!']"
401,"""Mama bilang om putih, padahal om hitam"" Dia mengharapkan saya macam artis ibukota. Baru datang ke Bali. #HarapanTinggi
""Lihat toh mas, kamu lebih putih dariku"" Kata Mas tukang bangunan tetangga kos.
""Tapi tanganku lebih hitam darimu""
""Iya ya, tangan om ojek"" timpalnya
#Ngakak https://t.co/NcP9dgYrRb",mama bilang om putih padahal om hitam dia mengharapkan saya macam artis ibukota baru datang ke bali lihat toh mas kamu lebih putih dariku kata mas tukang bangunan tetangga kos tapi tanganku lebih hitam darimu iya ya tangan om ojek timpalnya,"['mama', 'bilang', 'om', 'putih', 'padahal', 'om', 'hitam', 'dia', 'mengharapkan', 'saya', 'macam', 'artis', 'ibukota', 'baru', 'datang', 'ke', 'bali', 'lihat', 'toh', 'mas', 'kamu', 'lebih', 'putih', 'dariku', 'kata', 'mas', 'tukang', 'bangunan', 'tetangga', 'kos', 'tapi', 'tanganku', 'lebih', 'hitam', 'darimu', 'iya', 'ya', 'tangan', 'om', 'ojek', 'timpalnya']"
402,@BalqisSofea12 @NurayNurot @MonangDjihado @hasanmalayu @aryantoro_h @Paijokoplax1 @tslmndr @RahmanurY @islamdunkz @ZulchairilHara1 @zainhasanmalayu ngurusin ibukota aja gak becus lg gaya2an mau ngurusin negara,h mengurusi ibukota saja enggak becus lagi gayaan mau mengurusi negara,"['h', 'mengurusi', 'ibukota', 'saja', 'enggak', 'becus', 'lagi', 'gayaan', 'mau', 'mengurusi', 'negara']"
403,"Anies gak tahu kalau orang Singapura mau investasi di Ibukota Nusantara !! 

Selengkapnya: https://t.co/P729rT3DaH https://t.co/GWN359JrSo",anies enggak tahu kalau orang singapura mau investasi di ibukota nusantara selengkapnya,"['anies', 'enggak', 'tahu', 'kalau', 'orang', 'singapura', 'mau', 'investasi', 'di', 'ibukota', 'nusantara', 'selengkapnya']"
404,@8eatr @_plkz penggunaan kalimat pasif itu karena orang Indonesia lebih banyak berfokus ke objek/ objek kegiatan daripada subjek. cth: Transportasi umum seperti kereta banyak digunakan oleh masyarakat ibukota daripada kendaraan pribadi. Konteksnya karena sedang mendiskusikan moda transportasi.,plkz penggunaan kalimat pasif itu karena orang indonesia lebih banyak berfokus ke objek objek kegiatan daripada subjek cth transportasi umum seperti kereta banyak digunakan oleh masyarakat ibukota daripada kendaraan pribadi konteksnya karena sedang mendiskusikan moda transportasi,"['plkz', 'penggunaan', 'kalimat', 'pasif', 'itu', 'karena', 'orang', 'indonesia', 'lebih', 'banyak', 'berfokus', 'ke', 'objek', 'objek', 'kegiatan', 'daripada', 'subjek', 'cth', 'transportasi', 'umum', 'seperti', 'kereta', 'banyak', 'digunakan', 'oleh', 'masyarakat', 'ibukota', 'daripada', 'kendaraan', 'pribadi', 'konteksnya', 'karena', 'sedang', 'mendiskusikan', 'moda', 'transportasi']"
405,@noriba01 Anak buah nun jauh disana jadi sasaran tembak bapak buah di ibukota malah gabut dan maen tonil 😠,anak buah nun jauh disana jadi sasaran tembak bapak buah di ibukota malah gabut dan main tonil 😠,"['anak', 'buah', 'nun', 'jauh', 'disana', 'jadi', 'sasaran', 'tembak', 'bapak', 'buah', 'di', 'ibukota', 'malah', 'gabut', 'dan', 'main', 'tonil', '!angry_face!']"
406,"Soft Honey Butter (@ TOUS les JOURS Café in Kecamatan Tanah Abang, Daerah Khusus Ibukota Jakarta) https://t.co/1zb1i5Lnt0 https://t.co/u22ynz6R0S",soft honey butter tous les jours café ini kecamatan tanah abang daerah khusus ibukota jakarta,"['soft', 'honey', 'butter', 'tous', 'les', 'jours', 'café', 'ini', 'kecamatan', 'tanah', 'abang', 'daerah', 'khusus', 'ibukota', 'jakarta']"
407,Day6 as anak geng motor ibukota https://t.co/fuIeLUpBp6,day as anak geng motor ibukota,"['day', 'as', 'anak', 'geng', 'motor', 'ibukota']"
408,@Dennysiregar7 @NasDem aku ngak perlu ibukota baru yang dibutuhkan oleh negeri ini kepala yg baru penuh dengan konsep utk mengwujudkan cita-cita negeri ini dan berharap jangan banyak janji-janji palsu...dan jangan sampai ijasahpun palsu,aku enggak perlu ibukota baru yang dibutuhkan oleh negeri ini kepala yang baru penuh dengan konsep untuk mengwujudkan citacita negeri ini dan berharap jangan banyak janjijanji palsudan jangan sampai ijasahpun palsu,"['aku', 'enggak', 'perlu', 'ibukota', 'baru', 'yang', 'dibutuhkan', 'oleh', 'negeri', 'ini', 'kepala', 'yang', 'baru', 'penuh', 'dengan', 'konsep', 'untuk', 'mengwujudkan', 'citacita', 'negeri', 'ini', 'dan', 'berharap', 'jangan', 'banyak', 'janjijanji', 'palsudan', 'jangan', 'sampai', 'ijasahpun', 'palsu']"
409,"@ndagels gausah jauh2 kabupaten, di ibukota pun ada dan banyak. Makin kesini makin ketemu orang tua yg gak siap jd orng tua. yg ada krka malah ngerepotin keluarga, pemerintah dan kasian si anak tentunya. Gak kebayang gmna nasip si anak nantinya, semoga sehat selalu 😫🥺😭",enggak usah jauh kabupaten di ibukota pun ada dan banyak makin kesini makin ketemu orang tua yang enggak siap jadi orang tua yang ada krka malah ngerepotin keluarga pemerintah dan kasihan sih anak tentunya enggak terbayang bagaimana nasip sih anak nantinya semoga sehat selalu 😫🥺😭,"['enggak', 'usah', 'jauh', 'kabupaten', 'di', 'ibukota', 'pun', 'ada', 'dan', 'banyak', 'makin', 'kesini', 'makin', 'ketemu', 'orang', 'tua', 'yang', 'enggak', 'siap', 'jadi', 'orang', 'tua', 'yang', 'ada', 'krka', 'malah', 'ngerepotin', 'keluarga', 'pemerintah', 'dan', 'kasihan', 'sih', 'anak', 'tentunya', 'enggak', 'terbayang', 'bagaimana', 'nasip', 'sih', 'anak', 'nantinya', 'semoga', 'sehat', 'selalu', '!tired_face!!pleading_face!!loudly_crying_face!']"
410,@ruhutsitompul Emang semua orang Indonesia asli setuju dengan pemindahan ibukota Lae...??? 🤔😜,memang semua orang indonesia asli setuju dengan pemindahan ibukota lae 🤔😜,"['memang', 'semua', 'orang', 'indonesia', 'asli', 'setuju', 'dengan', 'pemindahan', 'ibukota', 'lae', '!thinking_face!!winking_face_with_tongue!']"
411,Arsenal sedang tak terkalahkan saat derby London. The Gunners bahkan lebih bagus lagi saat melakukan laga tandang ke markas sesama tim asal ibukota Inggris.  https://t.co/9jV38dH4kK,arsenal sedang tak terkalahkan saat derby london the gunners bahkan lebih bagus lagi saat melakukan laga tandang ke markas sesama tim asal ibukota inggris,"['arsenal', 'sedang', 'tak', 'terkalahkan', 'saat', 'derby', 'london', 'the', 'gunners', 'bahkan', 'lebih', 'bagus', 'lagi', 'saat', 'melakukan', 'laga', 'tandang', 'ke', 'markas', 'sesama', 'tim', 'asal', 'ibukota', 'inggris']"
412,@CarolinSiagian Ada biaya bukan buat ibukota tapi malah digarong orang2 demokrat...Mau sih banyak maunya tapi tak mampu merielkan maunya.Nanti Jokowi bikin makmur rakyat sby akan pidato :sebenarya saya dulu pernah mau bikin makmur rakyat cuma tak tahu caranya...,ada biaya bukan buat ibukota tapi malah digarong orang demokratmau sih banyak maunya tapi tak mampu merielkan maunyananti jokowi bikin makmur rakyat surabaya akan pidato sebenarya saya dulu pernah mau bikin makmur rakyat cuma tak tahu caranya,"['ada', 'biaya', 'bukan', 'buat', 'ibukota', 'tapi', 'malah', 'digarong', 'orang', 'demokratmau', 'sih', 'banyak', 'maunya', 'tapi', 'tak', 'mampu', 'merielkan', 'maunyananti', 'jokowi', 'bikin', 'makmur', 'rakyat', 'surabaya', 'akan', 'pidato', 'sebenarya', 'saya', 'dulu', 'pernah', 'mau', 'bikin', 'makmur', 'rakyat', 'cuma', 'tak', 'tahu', 'caranya']"
413,"ketika aku di rumah seharian glundang glundung+makan, suamiku di ibukota lagi kerja+puasa. sungguh sangat melengkapi🤲🏻",ketika aku di rumah seharian glundang glundungmakan suamiku di ibukota lagi kerjapuasa sungguh sangat melengkapi🤲🏻,"['ketika', 'aku', 'di', 'rumah', 'seharian', 'glundang', 'glundungmakan', 'suamiku', 'di', 'ibukota', 'lagi', 'kerjapuasa', 'sungguh', 'sangat', 'melengkapi!palms_up_together_light_skin_tone!']"
414,@focatlors @okfkotsu Ibukota jawak selatan apa 🗿,ibukota jawak selatan apa 🗿,"['ibukota', 'jawak', 'selatan', 'apa', '!moai!']"
415,Arsenal sedang tak terkalahkan saat derby London. The Gunners bahkan lebih bagus lagi saat melakukan laga tandang ke markas sesama tim asal ibukota Inggris.  https://t.co/X5qr1teoOF,arsenal sedang tak terkalahkan saat derby london the gunners bahkan lebih bagus lagi saat melakukan laga tandang ke markas sesama tim asal ibukota inggris,"['arsenal', 'sedang', 'tak', 'terkalahkan', 'saat', 'derby', 'london', 'the', 'gunners', 'bahkan', 'lebih', 'bagus', 'lagi', 'saat', 'melakukan', 'laga', 'tandang', 'ke', 'markas', 'sesama', 'tim', 'asal', 'ibukota', 'inggris']"
416,...jadwale wes fix di ibukota,jadwale wes fix di ibukota,"['jadwale', 'wes', 'fix', 'di', 'ibukota']"
417,"️
️

️
️
O2  :  PERIHAL PRESENSI.

Cerita disini mengisahkan tentang seorang nona dengan jenama Rona Anyelir dengan noktah-noktah hidup sebagai sulung di Ibukota. Seorang wartawan di bawah naungan Surat Kabar Koran Jakarta.
️
️

️
️",️ ️ ️ ️ o perihal presensi cerita disini mengisahkan tentang seorang nona dengan jenama rona anyelir dengan noktahnoktah hidup sebagai sulung di ibukota seorang wartawan di bawah naungan surat kabar koran jakarta ️ ️ ️ ️,"['️', '️', '️', '️', 'o', 'perihal', 'presensi', 'cerita', 'disini', 'mengisahkan', 'tentang', 'seorang', 'nona', 'dengan', 'jenama', 'rona', 'anyelir', 'dengan', 'noktahnoktah', 'hidup', 'sebagai', 'sulung', 'di', 'ibukota', 'seorang', 'wartawan', 'di', 'bawah', 'naungan', 'surat', 'kabar', 'koran', 'jakarta', '️', '️', '️', '️']"
