,tweet,text_clean,text_preprocessed
12,"•Sebagai pusat pemerintahan (political capital). Contoh: Brasilia (ibukota Brasil), Washington DC (ibukota Amerika Serikat), Canberra (ibukota Australia)",sebagai pusat pemerintahan political capital contoh brasilia ibukota brasil washington dc ibukota amerika serikat canberra ibukota australia,"['sebagai', 'pusat', 'pemerintahan', 'political', 'capital', 'contoh', 'brasilia', 'ibukota', 'brasil', 'washington', 'dc', 'ibukota', 'amerika', 'serikat', 'canberra', 'ibukota', 'australia']"
13,"@Brutus04463720 @musniumar goblok,pemindahan ibukota sdh di rancang sejak jaman suharto",goblokpemindahan ibukota sudah di rancang sejak jaman suharto,"['goblokpemindahan', 'ibukota', 'sudah', 'di', 'rancang', 'sejak', 'jaman', 'suharto']"
14,"habistu cerita kalau dia pinter geografi, lalu kami tebak-tebakan ibukota negara. DIA BISA JAWAB SEMUAAAA !!!",habistu cerita kalau dia pintar geografi lalu kami tebaktebakan ibukota negara dia bisa jawab semuaaaa,"['habistu', 'cerita', 'kalau', 'dia', 'pintar', 'geografi', 'lalu', 'kami', 'tebaktebakan', 'ibukota', 'negara', 'dia', 'bisa', 'jawab', 'semua']"
15,"@okino2x @TeddGus Dimana2 ibukota dr negara dulu yg dibenahi baru yg lain menyusul, kalo ibu gak sehat gimana anak2 nya bisa sehat",dimana ibukota dari negara dulu yang dibenahi baru yang lain menyusul kalo ibu enggak sehat bagaimana anak nya bisa sehat,"['dimana', 'ibukota', 'dari', 'negara', 'dulu', 'yang', 'dibenahi', 'baru', 'yang', 'lain', 'menyusul', 'kalo', 'ibu', 'enggak', 'sehat', 'bagaimana', 'anak', 'nya', 'bisa', 'sehat']"
16,"@anovicepro @barijoe ga kok om, di kota2 indonesia udah menjamur  konsep Coffee to go. di daerah Lokal2 malah bisa bersaing dgn brand franchise Ibukota",enggak kok om di kota indonesia sudah menjamur konsep coffee tapi go di daerah lokal malah bisa bersaing dengan brand franchise ibukota,"['enggak', 'kok', 'om', 'di', 'kota', 'indonesia', 'sudah', 'menjamur', 'konsep', 'coffe', 'tapi', 'go', 'di', 'daerah', 'lokal', 'malah', 'bisa', 'bersaing', 'dengan', 'brand', 'franchise', 'ibukota']"
17,@pelimati Tutorial menjadi warga ibukota☝☝,tutorial menjadi warga ibukota☝☝,"['tutorial', 'menjadi', 'warga', 'ibukota☝☝']"
18,"#kutipanmalam
saat kulihat cahaya-cahaya nusantara berpendaran mengelilingi lingkup ibukota, malam terasa begitu hening
Ia seakan hadir, hadirmu tampak nyata
walau kau tak ada disisi
~kekasih~",saat kulihat cahayacahaya nusantara berpendaran mengelilingi lingkup ibukota malam terasa begitu hening ia seakan hadir hadirmu tampak nyata walau kau tak ada disisi kekasih,"['saat', 'kulihat', 'cahayacahaya', 'nusantara', 'berpendaran', 'mengelilingi', 'lingkup', 'ibukota', 'malam', 'terasa', 'begitu', 'hening', 'ia', 'seakan', 'hadir', 'hadirmu', 'tampak', 'nyata', 'walau', 'kau', 'tak', 'ada', 'disisi', 'kekasih']"
19,Salah satu kampanye paling mudah murah sekaligus mengena dibanyak hati ❤💞 haters @jokowi adalah pembatalan idea IKN dan pindah Ibukota Negara. Bodohnya orang2 yg memiliki idea pembatalan ini adalah mereka tidak menyadari ada Undang-Undang IKN dan mereka harus menang PEMILU dulu,salah satu kampanye paling mudah murah sekaligus mengena dibanyak hati ❤💞 haters adalah pembatalan idea ikn dan pindah ibukota negara bodohnya orang yang memiliki idea pembatalan ini adalah mereka tidak menyadari ada undangundang ikn dan mereka harus menang pemilu dulu,"['salah', 'satu', 'kampanye', 'paling', 'mudah', 'murah', 'sekaligus', 'mengena', 'dibanyak', 'hati', '❤!revolving_hearts!', 'haters', 'adalah', 'pembatalan', 'idea', 'ikn', 'dan', 'pindah', 'ibukota', 'negara', 'bodohnya', 'orang', 'yang', 'memiliki', 'idea', 'pembatalan', 'ini', 'adalah', 'mereka', 'tidak', 'menyadari', 'ada', 'undangundang', 'ikn', 'dan', 'mereka', 'harus', 'menang', 'pemilu', 'dulu']"
20,@mikaillajaaa @sleysfo lihatlah samuel yang bersinar di ibukota,lihatlah samuel yang bersinar di ibukota,"['lihatlah', 'samuel', 'yang', 'bersinar', 'di', 'ibukota']"
21,"Trem listrik beroperasi di Sarajevo (ibukota Bosnia - Herzegovina) sejak 1895, meskipun kota itu pernah dikepung lebih dari 1400 hari. Peristiwa yang dikenal dengan sebutan The Siege of Sarajevo itu merusak prasarana dan sarana trem. Tetapi semua bisa dipulihkan setelah perang https://t.co/x6HyEN5ebZ",trem listrik beroperasi di sarajevo ibukota bosnia herzegovina sejak meskipun kota itu pernah dikepung lebih dari hari peristiwa yang dikenal dengan sebutan the siege of sarajevo itu merusak prasarana dan sarana trem tetapi semua bisa dipulihkan setelah perang,"['trem', 'listrik', 'beroperasi', 'di', 'sarajevo', 'ibukota', 'bosnia', 'herzegovina', 'sejak', 'meskipun', 'kota', 'itu', 'pernah', 'dikepung', 'lebih', 'dari', 'hari', 'peristiwa', 'yang', 'dikenal', 'dengan', 'sebutan', 'the', 'siege', 'of', 'sarajevo', 'itu', 'merusak', 'prasarana', 'dan', 'sarana', 'trem', 'tetapi', 'semua', 'bisa', 'dipulihkan', 'setelah', 'perang']"
