created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 23:59:10 +0000 2023;1725302522234183748;"Prabowo pelanggar HAM !! Cawapresnya politik dinasti https://t.co/yr6WeNYEKI";0;0;0;0;in;1579368000615985152;1725302414323114126;LisaRicaRica;https://twitter.com/LisaRicaRica/status/1725302522234183748
Thu Nov 16 23:59:03 +0000 2023;1725302493633225070;"Prabowo pelanggar HAM !! Cawapresnya politik dinasti https://t.co/ym9qC23BSm";0;0;0;0;in;1579368000615985152;1725302414323114126;LisaRicaRica;https://twitter.com/LisaRicaRica/status/1725302493633225070
Thu Nov 16 23:58:57 +0000 2023;1725302467448160467;"Prabowo pelanggar HAM !! Cawapresnya politik dinasti https://t.co/LrJWoiIUI5";0;0;0;0;in;1579368000615985152;1725302414323114126;LisaRicaRica;https://twitter.com/LisaRicaRica/status/1725302467448160467
Thu Nov 16 23:58:52 +0000 2023;1725302445465907246;"Prabowo pelanggar HAM !! Cawapresnya politik dinasti https://t.co/LC6C44ExtY";0;0;0;0;in;1579368000615985152;1725302414323114126;LisaRicaRica;https://twitter.com/LisaRicaRica/status/1725302445465907246
Thu Nov 16 23:58:44 +0000 2023;1725302414323114126;"Prabowo pelanggar HAM !! Cawapresnya politik dinasti https://t.co/KZyJUF74cj";0;4;0;0;in;1579368000615985152;1725302414323114126;LisaRicaRica;https://twitter.com/LisaRicaRica/status/1725302414323114126
Thu Nov 16 23:57:54 +0000 2023;1725302203496448054;"@ainunnajib Kok ada org "intelektuel" tapi beranggapan bahwa kami sentimen negatif atas politik dinasti pak Jokowi &amp  keluarga. Jgn tutup mata bahwa saat ini rakyat mayoritas masih mudah dibohongi dibodoh-bodohi. Akar rumput jgn digadaikan demi kekuasaan yg justru menyengsarakan mereka!";0;0;0;0;in;1596551599895490560;1725055364675350909;Arsyam592022;https://twitter.com/Arsyam592022/status/1725302203496448054
Thu Nov 16 23:56:38 +0000 2023;1725301886222582236;"KEJAHATAN POLITIK DINASTI, SURPLUS UTANG DAN KEJAHATAN KKN DAN KASUS KEJAHATAN KEMANUSIAAN#JUSTICEFORALL#REVOLUSIHUKUMDANKEADILAN.";0;0;0;0;in;3228973832;1725301886222582236;penjagadapur;https://twitter.com/penjagadapur/status/1725301886222582236
Thu Nov 16 23:56:09 +0000 2023;1725301763673309370;"Korupsi konstitusi demi lancarnya KKN dn Dinasti Politik https://t.co/vF81DqqOsg";0;0;0;1;in;1572600613099425795;1725301763673309370;JSedoe;https://twitter.com/JSedoe/status/1725301763673309370
Thu Nov 16 23:54:47 +0000 2023;1725301419832676439;"u ahli d bidang IT. Kl emang peduli Indonesia, u sosialisasikan lah bahayanya politik dinasti melalui keahlian u.  Sgitunya amat yg abis d undang pemerintah, pdhl dah 8thn an konsep proyeknya d cuekin. Peka dikit napa konsep proyeknya br d follow up skrg.";0;0;0;0;in;90353315;1725301419832676439;MyNameIsMboy;https://twitter.com/MyNameIsMboy/status/1725301419832676439
Thu Nov 16 23:53:16 +0000 2023;1725301039040250310;"KKN dn politik dinasti mulus tanpa hambatan apapun ya https://t.co/KWq3ZFwbUh";1;0;0;1;in;1572600613099425795;1725301039040250310;JSedoe;https://twitter.com/JSedoe/status/1725301039040250310
Thu Nov 16 23:53:11 +0000 2023;1725301015963209922;"@msaid_didu Untuk lawan politik dinasti darah sdh tertumpah pahlawan kita erlang sdh gugur utuk perjuangkan....kini di cedera dan terang2 lagngsun ke pucuk kekuasaan. Luar biasa bejatnya";0;0;0;0;in;1617749254436720640;1725145283393470497;IfandyPeter;https://twitter.com/IfandyPeter/status/1725301015963209922
Thu Nov 16 23:52:52 +0000 2023;1725300935952589210;"@onedarwanto @Aryprasetyo85 @psi_id @007koteka @03__nakula @__AnakKolong @B3doel___ @FirzaHusainID @GunRomli @Gus_Raharjo Sepakat, "tenggelamkan" pasangan capres / cawapres yg dipimpin pelanggar HAM dan pelaku politik dinasti";0;0;0;0;in;969099873856335877;1725198223428538515;ParapatYohanes;https://twitter.com/ParapatYohanes/status/1725300935952589210
Thu Nov 16 23:50:45 +0000 2023;1725300404895068543;"Kalau seandainya mas Gibran jadi wakil GP pasti isu isu Dinasti politik ga bergema.  Buzzer paling aneh sejauh ini ya cuma dari partai itu ga di tiktok, twitter, fb, instagram sama semua. Umur tua, muka tua, tapi kelakuan kayak anak-anak suka mengadu domba.";0;0;0;0;in;1307940014865567745;1725298761608687710;IsmailAziz29;https://twitter.com/IsmailAziz29/status/1725300404895068543
Thu Nov 16 23:47:53 +0000 2023;1725299680698057011;"Dan masih banyak lagi kejanggalan dan pernyataan aneh dari para buzzer yang merah merah itu. Mulai menggugat ke MK perihal politik Dinasti dan lain sebagainya. Kenapa baru sekarang? Takut kalah suara kah?  Atau karena mas Gibran bukan wakilnya GP makanya heboh pada berisik.";0;1;0;0;in;1307940014865567745;1725298761608687710;IsmailAziz29;https://twitter.com/IsmailAziz29/status/1725299680698057011
Thu Nov 16 23:44:41 +0000 2023;1725298876427718865;"@DokterTifa Lgi skrol cari yg komen pollitik identitas .. mau jawab drpda politik dinasti dan KKN ..";0;0;0;0;in;103704483;1725100248790659085;imam_malik;https://twitter.com/imam_malik/status/1725298876427718865
Thu Nov 16 23:42:59 +0000 2023;1725298448172569060;"@nongandah Semoga diikuti kampus2 lain dan tokoh2 masyarakat sehingga mendorong rakyat ikut serta melawan politik dinasti. Rakyat bergerak slsekuat apapun pemerintahnya akan tumbang";0;0;0;0;in;240560030;1725012708956029255;iwanarmita;https://twitter.com/iwanarmita/status/1725298448172569060
Thu Nov 16 23:42:33 +0000 2023;1725298340328538616;"Selain itu, JK juga membandingkan dengan era-era kepresidenan sebelumnya yang dianggap lebih demokratis – salah satunya era Megawati Soekarnoputri. Politikus senior Golkar tersebut juga mengatakan bahwa Soekarno dan Soeharto tidak berpikir soal politik dinasti ketika menjabat.";0;1;0;0;in;798770586784702464;1725287637945319920;pinterpolitik;https://twitter.com/pinterpolitik/status/1725298340328538616
Thu Nov 16 23:42:11 +0000 2023;1725298246384566480;"Wakil Presiden (Wapres) ke-10 dan ke-12, @jusufkalla (JK), ikut berbicara mengenai situasi demokrasi dan politik dinasti terkini. Dalam acara Habibie Democracy Forum, JK mengatakan bahwa demokrasi memburuk meski belum sampai satu dekade.";0;1;0;0;in;798770586784702464;1725287637945319920;pinterpolitik;https://twitter.com/pinterpolitik/status/1725298246384566480
Thu Nov 16 23:37:47 +0000 2023;1725297142070456366;"@NgkongRoses Sama dong dengan Kerajaan Inggris. Monarki dong jadinya... Monarki Politik dan identik dengan Dinasti Politik.";2;0;0;2;in;106930083;1725295345129927156;JimmyEdward01;https://twitter.com/JimmyEdward01/status/1725297142070456366
Thu Nov 16 23:36:21 +0000 2023;1725296779338690627;"@cahyadibison Tolak dinasti politik";0;0;0;0;eu;2426857231;1725128802236514808;MarietoniCarlos;https://twitter.com/MarietoniCarlos/status/1725296779338690627
