created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 12:02:22 +0000 2023;1725122131489624095;"🚨 Sumber Lokal: Pesawat Israel melancarkan serangan usara di Jalur Gaza utara, diikuti tembakan artileri, asap mengepul di sekitar rumah sakit Indonesia.";0;0;0;0;in;1641063153562976263;1725122131489624095;palestinaupdate;https://twitter.com/palestinaupdate/status/1725122131489624095
Thu Nov 16 12:02:02 +0000 2023;1725122048241065984;"Saham Freeport Yang Sebelumnya Hanya 51% Bakal Ditambah Menjadi 61%  #infrastruktur #indonesia #bantuan #indonesiaemas2045 #palestina https://t.co/prANcMdmLq";0;0;0;0;in;1564492139697844224;1725122048241065984;bullshitt404;https://twitter.com/bullshitt404/status/1725122048241065984
Thu Nov 16 12:01:08 +0000 2023;1725121821455126750;"Sejumlah Raksasa Teknologi AS Ikut Bangun IKN.  #infrastruktur #indonesia #bantuan #indonesiaemas2045 #palestina https://t.co/FB3uF3eAIL";0;0;0;0;in;1564492139697844224;1725121821455126750;bullshitt404;https://twitter.com/bullshitt404/status/1725121821455126750
Thu Nov 16 12:01:06 +0000 2023;1725121813418774799;"Warga sipil Palestina sdh benar mengatakan itu, mengapa Hamas Teroris sembunyi di Rumah sakit tidak pergi saja ke Neraka.";0;0;0;0;in;2895829099;1725121813418774799;Heni_indonesia;https://twitter.com/Heni_indonesia/status/1725121813418774799
Thu Nov 16 11:58:07 +0000 2023;1725121062445412604;"@mihrabku Pasti ada yg bilang  " palestina sedang tdk baik² saja, kok sampean rela bergembira nonton coldplay " 🤣🤣🤣  Netizen Indonesia emang maha julid tadz...";0;0;0;0;in;1540298181996470272;1725118075228557599;astrid0390;https://twitter.com/astrid0390/status/1725121062445412604
Thu Nov 16 11:55:08 +0000 2023;1725120313133039822;"Prabowo menegaskan sikap Indonesia terkait serangan Israel terhadap warga sipil di Gaza, Palestina.#PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;2221519400;1725120306514456704;sthefanieau_;https://twitter.com/sthefanieau_/status/1725120313133039822
Thu Nov 16 11:52:11 +0000 2023;1725119570338562269;"@cwedagyeom @afternoondtea @tubirfess Trus kalo maksud lu atasan di McD Indonesia, ya ngapain mereka repot² ngasih bantuan ke Palestina kalo mereka dukung israhell. Ini karena gue nyebut McD dan yg keliatan effort cuma McD Indo https://t.co/Iy8ZU6AIQj";0;0;0;0;in;2326672171;1723372278573072521;Syiva_AWd;https://twitter.com/Syiva_AWd/status/1725119570338562269
Thu Nov 16 11:49:50 +0000 2023;1725118978337743090;"@MediaKomando Israil Kerap Ancam Indonesia, mereka Sangat takut kalau warga +62 berangkat ke Palestina, sehingga di buatlah pasukan Counter Teroris yang di Prakarsai Amerika.";0;0;0;0;in;80279696;1725111430037537012;SYAMSFITRI;https://twitter.com/SYAMSFITRI/status/1725118978337743090
Thu Nov 16 11:48:54 +0000 2023;1725118744333262858;"@_MbakSri_ Ya elu kenapa gak ke Israel sono, Indonesia bersama palestina , kalau tidak setuju berarti membangkang dari Indonesia, jgn elu pikir @Menlu_RI bercanda tentang posisi Indonesia.";0;0;0;0;in;1575776588897038336;1724791041948352952;Al_khawarizmii;https://twitter.com/Al_khawarizmii/status/1725118744333262858
Thu Nov 16 11:47:58 +0000 2023;1725118509557133714;"@tanyakanrl wkwkwkwkkw mereka mengancam indonesia dijadiin palestina via rudal, indonesia bisa mengancam mereka via magis";0;2;14;1365;in;1243714707883606017;1725109029196996639;thinkaboutzid;https://twitter.com/thinkaboutzid/status/1725118509557133714
Thu Nov 16 11:32:32 +0000 2023;1725114625816178718;"@sami86pilang @MUIPusat @MajelisUlamaID Dan smpe skrang malah makin menjadi2 pikirannya bukannya mikir kemaslahatan umat yg ada d Indonesia tpi malah mikir warga Palestina,, yg korban PHK juga korban dari fatwa MUI";0;0;0;1;in;844206338297159681;1725102587819753627;IInayaturahmah;https://twitter.com/IInayaturahmah/status/1725114625816178718
Thu Nov 16 11:30:01 +0000 2023;1725113993092870431;"@404una @OmJ_JeNggot Disorga lebih banyak nabi Yahudi daripada nabi Arab, tidak ada nabi Palestina  Maaf saya suka jujur orangnya 🤣";0;0;0;0;in;1683336034573254656;1725020702712135839;NusantaraSaja;https://twitter.com/NusantaraSaja/status/1725113993092870431
Thu Nov 16 11:28:53 +0000 2023;1725113706550632903;"@nsaapoetra @tifsembiring Tertawa dalam kebodohan 🤣🤣  Sederhananya saya berikan gambar ini untuk ingatkan kamu, tidak butuh pintar banget untuk paham   Si kecil Daud dari Israel vs raksasa Goliat dari Palestina https://t.co/h2z08DHFFm";0;0;0;0;in;1683336034573254656;1724928674732867695;NusantaraSaja;https://twitter.com/NusantaraSaja/status/1725113706550632903
Thu Nov 16 11:26:23 +0000 2023;1725113079774732343;"Kalau masyarakat Indonesia mana mereka tahu Jika Israel mendukung Aspirasi Palestina menjadi Negara. Karena yang mereka tahu hanyalah perang Agama 🤦‍♀️";0;0;0;0;in;2895829099;1725113079774732343;Heni_indonesia;https://twitter.com/Heni_indonesia/status/1725113079774732343
Thu Nov 16 11:26:09 +0000 2023;1725113020593164668;"Ini Perusahaan yang Membantu Pendudukan Israel di Palestina menurut PBB https://t.co/bcEVSZsyi3";0;0;0;0;in;1316329680396451841;1725113020593164668;databoksid;https://twitter.com/databoksid/status/1725113020593164668
